Candidato,Distrito,Lista,Pacto,Partido,votacion
FELIX GONZALEZ GATICA,20,G,FRENTE AMPLIO,ECOLOGISTA VERDE,18397
FERNANDO SAN ROMAN BASCUÃ‘AN,3,G,FRENTE AMPLIO,HUMANISTA,5729
FERNANDO ADILIO LEAL ARAVENA,17,B,POR TODO CHILE,PAIS,3154
FERNANDO ANDRES ENCINA WAISSBLUTH,11,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,2651
FERNANDO ANTINAO JELVES,20,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,3438
FERNANDO ATRIA LEMAITRE,11,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,16107
FERNANDO MEZA MONCADA,23,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,13696
FIDEL ESPINOZA SANDOVAL,25,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,27999
FIDEL RODRIGO CUETO ROSALES,6,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,6567
FILOMENA CARMEN URBINA CAMPOS,15,B,POR TODO CHILE,PROGRESISTA,1714
FLORCITA ALARCON ROJAS,17,G,FRENTE AMPLIO,HUMANISTA,6482
FRANCESCA FIGARI SCHENCK,5,P,CHILE VAMOS,INDEPENDIENTE RENOVACION NACIONAL,1716
FRANCESCA MUÃ‘OZ GONZALEZ,20,P,CHILE VAMOS,RENOVACION NACIONAL,23165
FRANCESCA PARODI OPPLIGER,20,P,CHILE VAMOS,EVOLUCION POLITICA,12371
FRANCISCA CHAHUAN GAJARDO,6,H,SUMEMOS,INDEPENDIENTE AMPLITUD,4434
FRANCISCA BASCUÃ‘AN PEÃ‘A,18,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,2328
FRANCISCO FIGUEROA CERDA,10,G,FRENTE AMPLIO,ECOLOGISTA VERDE,5793
FRANCISCO MUÃ‘OZ LE-BRETON,26,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,3194
FRANCISCO ALEJANDRO PARRAGUEZ LEIVA,15,O,CONVERGENCIA DEMOCRATICA,IZQUIERDA CIUDADANA DE CHILE,5706
FRANCISCO BUCAT OVIEDO,26,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,438
FRANCISCO EGUIGUREN CORREA,5,P,CHILE VAMOS,RENOVACION NACIONAL,11132
FRANCISCO ENRIQUE ALARCON NAVARRO,28,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,1315
FRANCISCO FLORES RIQUELME,9,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,3480
FRANCISCO JAVIER NUÃ‘EZ MARTINEZ,24,H,SUMEMOS,CIUDADANOS,439
FRANCISCO UNDURRAGA GAZITUA,11,P,CHILE VAMOS,EVOLUCION POLITICA,58666
FRANCISCO VALDES REYES,14,G,FRENTE AMPLIO,IGUALDAD,4395
FRANCYS FOIX FUENTEALBA,10,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,2228
FRANK SAUERBAUM MUÃ‘OZ,19,P,CHILE VAMOS,RENOVACION NACIONAL,18107
FREDDY CRISTIAN ANTILEF LEIVA,3,G,FRENTE AMPLIO,PODER,823
FREDDY MARCOS ARANEDA BARAHONA,2,R,CANDIDATURA INDEPENDIENTE,CANDIDATURA INDEPENDIENTE,3746
GABRIEL SILBER ROMO,8,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,29205
GABRIEL ARANGUIZ BALLESTEROS,6,B,POR TODO CHILE,PROGRESISTA,4203
GABRIEL BORIC FONT,28,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,18626
GABRIEL CABALLERO BERRIOS,5,H,SUMEMOS,INDEPENDIENTE AMPLITUD,407
GABRIEL ENRIQUE ALBISTUR GOMEZ,20,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE MAS REGION,2763
GABRIEL ESTEBAN BRAVO MUÃ‘OZ,13,G,FRENTE AMPLIO,IGUALDAD,3673
GABRIEL HECTOR ASCENCIO MANSILLA,26,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,9326
GABRIEL TORRES HERMOSILLA,20,P,CHILE VAMOS,RENOVACION NACIONAL,8434
GABRIELA TORRES PINCHEIRA,17,G,FRENTE AMPLIO,INDEPENDIENTE LIBERAL DE CHILE,1518
GABRIELA CARRASCO TOBAR,8,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,13782
GABRIELA MONSALVEZ ROJAS,2,P,CHILE VAMOS,REGIONALISTA INDEPENDIENTE,904
GAEL FERNANDA YEOMANS ARAYA,13,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,13721
GALIA AGUILERA CABALLERO,3,D,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,DE TRABAJADORES REVOLUCIONARIOS,1475
GASPAR ORTIZ CARDENAS,13,M,UNION PATRIOTICA,UNION PATRIOTICA,1020
GASTON SAAVEDRA CHANDIA,20,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,30557
GASTON VON MUHLENBROCK ZAMORA,24,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,12542
GENARO MALDONADO PALMA,17,B,POR TODO CHILE,PROGRESISTA,825
